epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
173,86425.8,0.77075,0.54538,0.98026,0.97639,0.97596,0.98813,0.74693,0.80162,0.50536,0.97368,9.2875e-05,9.2875e-05,9.2875e-05
174,86922.7,0.77308,0.54882,0.98418,0.97344,0.97161,0.98457,0.73939,0.81104,0.51092,0.97411,8.97813e-05,8.97813e-05,8.97813e-05
175,87411.4,0.76592,0.53945,0.98039,0.9723,0.97758,0.98712,0.74706,0.80493,0.50817,0.97961,8.66875e-05,8.66875e-05,8.66875e-05
176,87915.8,0.76642,0.54617,0.98268,0.97351,0.97426,0.98463,0.73269,0.81748,0.51663,0.98293,8.35938e-05,8.35938e-05,8.35938e-05
177,88440.4,0.76754,0.54515,0.98242,0.97368,0.97273,0.98512,0.7435,0.80483,0.51041,0.97811,8.05e-05,8.05e-05,8.05e-05
178,88961.5,0.77566,0.541,0.98341,0.97637,0.97218,0.98538,0.74512,0.80269,0.51151,0.97071,7.74062e-05,7.74062e-05,7.74062e-05
179,89474.5,0.75454,0.53341,0.97044,0.975,0.97352,0.98499,0.74546,0.8084,0.5106,0.97801,7.43125e-05,7.43125e-05,7.43125e-05
180,89969.3,0.76642,0.54126,0.97796,0.97707,0.97239,0.98556,0.74754,0.80808,0.51391,0.97998,7.12187e-05,7.12187e-05,7.12187e-05
181,90461.4,0.75398,0.52529,0.96997,0.97816,0.97217,0.98544,0.74565,0.80589,0.50881,0.97405,6.8125e-05,6.8125e-05,6.8125e-05
182,90954.3,0.7613,0.53133,0.9764,0.97788,0.97242,0.9862,0.74831,0.80269,0.50927,0.97353,6.50312e-05,6.50312e-05,6.50312e-05
183,91450.4,0.76778,0.54107,0.97905,0.97741,0.97178,0.98631,0.74958,0.79919,0.50694,0.9721,6.19375e-05,6.19375e-05,6.19375e-05
184,91935.6,0.76831,0.53188,0.98536,0.97674,0.97066,0.98546,0.74784,0.80668,0.51003,0.97882,5.88437e-05,5.88437e-05,5.88437e-05
185,92437.3,0.75407,0.52615,0.97303,0.9757,0.97166,0.98563,0.74814,0.80851,0.51013,0.97947,5.575e-05,5.575e-05,5.575e-05
186,92939.1,0.76312,0.53839,0.97442,0.9771,0.9725,0.98576,0.74496,0.79874,0.50478,0.97281,5.26562e-05,5.26562e-05,5.26562e-05
187,93445.5,0.75665,0.52421,0.97496,0.97764,0.97147,0.98466,0.74734,0.79526,0.50229,0.96913,4.95625e-05,4.95625e-05,4.95625e-05
188,93938.5,0.75376,0.52779,0.96972,0.97555,0.97538,0.98599,0.74727,0.80521,0.50726,0.97532,4.64687e-05,4.64687e-05,4.64687e-05
189,94431.5,0.75803,0.52952,0.97781,0.97506,0.97473,0.98555,0.74566,0.80682,0.5106,0.97651,4.3375e-05,4.3375e-05,4.3375e-05
190,94942.2,0.75235,0.53664,0.97343,0.97501,0.97582,0.9857,0.7418,0.8093,0.50869,0.97714,4.02813e-05,4.02813e-05,4.02813e-05
191,95432.3,0.76504,0.507,0.97172,0.96945,0.97658,0.98484,0.74353,0.80799,0.51773,0.98038,3.71875e-05,3.71875e-05,3.71875e-05
192,95922.3,0.76074,0.50836,0.97116,0.96598,0.98009,0.98524,0.73779,0.81259,0.51743,0.98031,3.40938e-05,3.40938e-05,3.40938e-05
193,96405,0.76446,0.51333,0.96468,0.96868,0.97937,0.98506,0.74339,0.8086,0.5163,0.98033,3.1e-05,3.1e-05,3.1e-05
194,96893.3,0.7619,0.50598,0.96267,0.97121,0.97493,0.98532,0.74524,0.80863,0.51236,0.97964,2.79063e-05,2.79063e-05,2.79063e-05
195,97371.5,0.75517,0.50555,0.96364,0.9725,0.97435,0.98526,0.74365,0.81012,0.51267,0.98125,2.48125e-05,2.48125e-05,2.48125e-05
196,97849.3,0.7513,0.49707,0.96144,0.97301,0.97587,0.98555,0.74236,0.80528,0.51192,0.97942,2.17188e-05,2.17188e-05,2.17188e-05
197,98331.5,0.75579,0.50875,0.95972,0.97274,0.9758,0.98572,0.74148,0.80933,0.51336,0.98287,1.8625e-05,1.8625e-05,1.8625e-05
198,98825,0.74924,0.49679,0.95956,0.97381,0.97376,0.98564,0.74467,0.8049,0.51052,0.97663,1.55313e-05,1.55313e-05,1.55313e-05
199,99319.6,0.75448,0.5026,0.9683,0.97443,0.97335,0.98568,0.74015,0.80439,0.5087,0.97757,1.24375e-05,1.24375e-05,1.24375e-05
200,99813.5,0.74418,0.49201,0.96784,0.97561,0.97358,0.98578,0.73908,0.80083,0.50614,0.97468,9.34375e-06,9.34375e-06,9.34375e-06
